#LangName	English	Polski
#LangId	en	pl
Start Game	Start Game	Rozpocznij Grę
Language	Language	Język
Options	Options	Opcje
Credits	Credits	O Autorach
Exit	Exit	Wyjście
Sound Volume	Sound Volume	Poziom Dźwięku
Music Volume	Music Volume	Poziom Muzyki
Camera Shake	Camera Shake	Wstrząsy Kamery
Optimize Display	Optimize Display	Optymalizuj Wyświetlanie
Controls	Controls	Sterowanie
Back	Back	Powrót
Yes	Yes	Tak
No	No	Nie
Continue Game	Continue Game	Kontynuuj Grę
New Game	New Game	Nowa Gra
Resume	Resume	Wznów
Paused	Paused	Wstrzymano
Off	Off	Wył.
All rights reserved.	All rights reserved.	Wszelkie prawa zastrzeżone.
Fullscreen	Fullscreen	Pełny ekran
Scale	Scale	Skala
Exit to Main Menu	Exit to Main Menu	Wyjdź do Menu Głównego
Crt0	None	Brak
Crt1	Modern	Nowoczesny
Crt2	Retro	Retro
CrtMode	Crt Mode	Tryb CRT
Palette	Palette	Paleta
Default	Default	Domyślna
Contrast	Contrast	Kontrastowa
Purple	Purple	Purpurowa
Cold	Cold	Zimna
Chocolate	Chocolate	Czekolada
Amber	Amber	Bursztynowa
Fav1	Author's FAV 1	Autora #1
Fav2	Author's FAV 2	Autora #2
