#LangName	English	Polski
Start Game	Start Game	Rozpocznij Grę
Language	Language	Język
Options	Options	Opcje
Credits	Credits	O Autorach
Exit	Exit	Wyjście
Sound Volume	Sound Volume	Poziom Dźwięku
Music Volume	Music Volume	Poziom Muzyki
Camera Shake	Camera Shake	Wstrząsy Kamery
Optimize Display	Optimize Display	Optymalizuj Wyświetlanie
Controls	Controls	Sterowanie
Back	Back	Powrót
Yes	Yes	Tak
No	No	Nie
Continue Game	Continue Game	Kontynuuj Grę
New Game	New Game	Nowa Gra
Resume	Resume	Wznów
Paused	Paused	Wstrzymano
Off	Off	Wył.
All rights reserved.	All rights reserved.	Wszelkie prawa zastrzeżone.
Fullscreen	Fullscreen	Pełny ekran
Scale	Scale	Skala
Exit to Main Menu	Exit to Main Menu	Wyjdź do Menu Głównego
